
2KOTH.BSP_*, , BRUSHES, FACES, , FACE TRIANGLES, DISPLACEMENT TRIANGLES, TOTAL TRIANGLES, VERTEX COUNT, INDEX COUNT
redwood_a3, , 397, 2294, , 6125, 3712, 9837, 21733, 29337
redwood_b2, , 532, 2564, , 7018, 2176, 9194, 18606, 27480
regal_a1, , 558, 2240, , 6384, 768, 7152, 13144, 21420
relic_a3, , 1939, 5808, , 15742, 29824, 45566, 115850, 135228
saibay_a6, , 699, 4498, , 13046, 896, 13942, 24630, 41676
sapphire_a8, , 1907, 7396, , 21635, 1920, 23555, 42007, 70395
satel_a6, , 675, 4276, , 11825, 0, 11825, 20377, 35475
standin_final, , 3217, 10154, , 30904, 44032, 74936, 182004, 222852
steel, , 6262, 17238, , 52778, 6880, 59658, 107190, 177918
strongboard_a1_fix, , 428, 1691, , 4229, 13600, 17829, 46711, 50937
tickytower, , 1003, 4561, , 14149, 256, 14405, 24031, 43203
trinity_f3, , 357, 3281, , 9355, 5376, 14731, 31877, 43941
vernazza_a1, , 611, 3004, , 8985, 3776, 12761, 25897, 37647
well, , 7715, 20907, , 66088, 6528, 72616, 126910, 216984
zavod_a3, , 283, 1113, , 3060, 0, 3060, 5286, 9180
Capture the Flag, , BRUSHES, FACES, , FACE TRIANGLES, DISPLACEMENT TRIANGLES, TOTAL TRIANGLES, VERTEX COUNT, INDEX COUNT
2fort_unpacked, , 5676, 15791, , 45234, 21248, 66482, 139632, 198054
banjaxed_a3, , 1924, 7932, , 22355, 13312, 35667, 76707, 104829
board_a1, , 734, 2132, , 6094, 0, 6094, 10358, 18282
campania_a1, , 798, 3837, , 10502, 2944, 13446, 26640, 39786
convoy_v2, , 4517, 18140, , 57858, 256, 58114, 94898, 174330
deepmines_a2_invadec, , 837, 2277, , 6375, 4480, 10855, 24229, 32355
gorge, , 3358, 11576, , 34307, 15840, 50147, 103911, 148839
hellfire, , 3312, 9729, , 27715, 38528, 66243, 158181, 191865
highfort, , 1553, 9350, , 25994, 2336, 28330, 51410, 84552
maintenance_a1, , 346, 2457, , 6763, 0, 6763, 11677, 20289
medieval, , 118, 760, , 1896, 0, 1896, 3416, 5688
pasty2_a1, , 1013, 3189, , 9133, 3136, 12269, 24527, 36219
plummet_a3, , 1804, 5602, , 15390, 1600, 16990, 31194, 50670
sawmill, , 2726, 11570, , 39286, 22880, 62166, 130342, 185412
slippery_snowslide, , 460, 1254, , 3453, 800, 4253, 8273, 12627
system_rc1, , 4464, 11218, , 35312, 20896, 56208, 118940, 166380
thundermountain, , 3350, 9398, , 26961, 32704, 59665, 139781, 172863
tmbrdr_a4, , 2939, 12171, , 34451, 768, 35219, 61001, 105513
tmbrdr_a5, , 2678, 11647, , 33343, 0, 33343, 56637, 100029
turbine, , 2245, 6784, , 19787, 0, 19787, 33355, 59361
well, , 5959, 16725, , 50541, 4896, 55437, 98187, 165573
DE_*, , BRUSHES, FACES, , FACE TRIANGLES, DISPLACEMENT TRIANGLES, TOTAL TRIANGLES, VERTEX COUNT, INDEX COUNT
DEEP_*, , BRUSHES, FACES, , FACE TRIANGLES, DISPLACEMENT TRIANGLES, TOTAL TRIANGLES, VERTEX COUNT, INDEX COUNT
sea, , 216, 2241, , 6430, 0, 6430, 10912, 19290
DETAIL_*, , BRUSHES, FACES, , FACE TRIANGLES, DISPLACEMENT TRIANGLES, TOTAL TRIANGLES, VERTEX COUNT, INDEX COUNT
frontline, , 100, 198, , 546, 0, 546, 942, 1638
DM_*, , BRUSHES, FACES, , FACE TRIANGLES, DISPLACEMENT TRIANGLES, TOTAL TRIANGLES, VERTEX COUNT, INDEX COUNT
extenthosting_p7, , 804, 4759, , 12478, 0, 12478, 21996, 37434
mariokart2_b2v2, , 3216, 14695, , 39335, 45728, 85063, 204381, 252897
mariokart2_b3, , 4055, 17450, , 47490, 60320, 107810, 261438, 320562
DOCK_*, , BRUSHES, FACES, , FACE TRIANGLES, DISPLACEMENT TRIANGLES, TOTAL TRIANGLES, VERTEX COUNT, INDEX COUNT
DP_*, , BRUSHES, FACES, , FACE TRIANGLES, DISPLACEMENT TRIANGLES, TOTAL TRIANGLES, VERTEX COUNT, INDEX COUNT
sprite_a1, , 803, 2257, , 6229, 3488, 9717, 21131, 29037
DR_*, , BRUSHES, FACES, , FACE TRIANGLES, DISPLACEMENT TRIANGLES, TOTAL TRIANGLES, VERTEX COUNT, INDEX COUNT
collab_template1_latest3, , 1171, 3633, , 9422, 13312, 22734, 56208, 67578
collab_template1_working, , 1034, 3625, , 9247, 13312, 22559, 56017, 67053
corridor_v3, , 1398, 7361, , 20156, 0, 20156, 34878, 60468
minecraftworld_b4d, , 7914, 32231, , 82692, 0, 82692, 147154, 248076
mlg_bearun_b3_fix, , 1665, 9650, , 25693, 0, 25693, 44993, 77079
pirate_adventure_fix, , 2452, 16936, , 44410, 1088, 45498, 81506, 136434
EX_*, , BRUSHES, FACES, , FACE TRIANGLES, DISPLACEMENT TRIANGLES, TOTAL TRIANGLES, VERTEX COUNT, INDEX COUNT
excavation_a11a, , 651, 3925, , 10611, 17920, 28531, 71661, 84753
EXCESS.BSP_*, , BRUSHES, FACES, , FACE TRIANGLES, DISPLACEMENT TRIANGLES, TOTAL TRIANGLES, VERTEX COUNT, INDEX COUNT
GD_*, , BRUSHES, FACES, , FACE TRIANGLES, DISPLACEMENT TRIANGLES, TOTAL TRIANGLES, VERTEX COUNT, INDEX COUNT
rodense_a6, , 1109, 5048, , 13423, 0, 13423, 23519, 40269
IDEAS_*, , BRUSHES, FACES, , FACE TRIANGLES, DISPLACEMENT TRIANGLES, TOTAL TRIANGLES, VERTEX COUNT, INDEX COUNT
menagerie, , 131, 1731, , 4234, 0, 4234, 7696, 12702
IDLE_*, , BRUSHES, FACES, , FACE TRIANGLES, DISPLACEMENT TRIANGLES, TOTAL TRIANGLES, VERTEX COUNT, INDEX COUNT
sniper_war_v4_6, , 321, 1692, , 4487, 128, 4615, 8251, 13839
IMP_*, , BRUSHES, FACES, , FACE TRIANGLES, DISPLACEMENT TRIANGLES, TOTAL TRIANGLES, VERTEX COUNT, INDEX COUNT
quality_1, , 11, 27, , 58, 128, 186, 492, 552
quality_2, , 11, 27, , 58, 128, 186, 492, 552
quality_3, , 11, 27, , 58, 128, 186, 492, 552
quality_4, , 11, 27, , 58, 128, 186, 492, 552
ISLAND_*, , BRUSHES, FACES, , FACE TRIANGLES, DISPLACEMENT TRIANGLES, TOTAL TRIANGLES, VERTEX COUNT, INDEX COUNT
demopirate, , 443, 4130, , 10950, 4352, 15302, 32130, 45702
ITEMTEST.BSP_*, , BRUSHES, FACES, , FACE TRIANGLES, DISPLACEMENT TRIANGLES, TOTAL TRIANGLES, VERTEX COUNT, INDEX COUNT
, , 172, 553, , 1608, 1024, 2632, 5706, 7776
JUMP_*, , BRUSHES, FACES, , FACE TRIANGLES, DISPLACEMENT TRIANGLES, TOTAL TRIANGLES, VERTEX COUNT, INDEX COUNT
4starter, , 8183, 28740, , 77438, 7488, 84926, 156578, 253572
4starters_rc1, , 8118, 27995, , 75983, 7488, 83471, 153633, 249207
academy_easy_c, , 2706, 17751, , 45051, 1888, 46939, 86077, 140607
academy_easy_e, , 2741, 18616, , 47854, 3328, 51182, 94906, 153300
beef, , 476, 3793, , 8705, 0, 8705, 16291, 26115
detr_v2, , 2132, 10212, , 26521, 0, 26521, 46945, 79563
eons_b2, , 1568, 10596, , 26469, 45184, 71653, 182725, 214227
fox, , 505, 6573, , 17202, 0, 17202, 30348, 51606
noskillrequired_a2, , 6638, 29344, , 74936, 5504, 80440, 149844, 240882
silly_a8, , 1192, 6419, , 15547, 0, 15547, 28385, 46641
sitood, , 5680, 22652, , 60265, 8832, 69097, 131249, 206067
summer_rc1, , 1544, 7614, , 19962, 24064, 44026, 107170, 131760
tombrady, , 946, 9122, , 21030, 0, 21030, 39274, 63090
wolf, , 2334, 14097, , 35279, 0, 35279, 63473, 105837
King of the Hill, , BRUSHES, FACES, , FACE TRIANGLES, DISPLACEMENT TRIANGLES, TOTAL TRIANGLES, VERTEX COUNT, INDEX COUNT
armybase_a1a, , 468, 2101, , 6859, 2304, 9163, 17709, 27093
badland, , 2758, 9632, , 30132, 55648, 85780, 211952, 250758
barn_city_a3, , 980, 6484, , 20187, 20224, 40411, 93195, 120285
buttery_a1, , 3340, 15677, , 46744, 0, 46744, 78098, 140232
campania, , 682, 3318, , 8858, 2976, 11834, 24050, 34944
campania_a1, , 698, 3395, , 9036, 2976, 12012, 24382, 35478
campania_a10, , 1433, 5852, , 16641, 2944, 19585, 36809, 58203
campania_a13, , 1488, 5745, , 16524, 2208, 18732, 34362, 55782
campania_a2, , 684, 3398, , 9152, 2976, 12128, 24504, 35826
campania_a2_af, , 685, 3368, , 8958, 2976, 11934, 24250, 35244
campania_a3, , 806, 3717, , 10148, 2976, 13124, 26138, 38814
campania_a6, , 932, 4381, , 11715, 2944, 14659, 28941, 43425
campania_a7, , 877, 4030, , 10883, 2944, 13827, 27407, 40929
campania_a7_invert, , 991, 4532, , 12121, 2944, 15065, 29649, 44643
carved_canyon_b2, , 1628, 9478, , 25743, 0, 25743, 44699, 77229
cascade_a3, , 709, 4380, , 11481, 14336, 25817, 62801, 76779
cascade_a5, , 651, 3079, , 8034, 3776, 11810, 25360, 35190
cascade_a6, , 706, 3470, , 9045, 2688, 11733, 23905, 34983
diesel_a1, , 402, 2735, , 7897, 0, 7897, 13367, 23691
distill_a4, , 488, 2037, , 5354, 0, 5354, 9428, 16062
distill_a6c, , 654, 2979, , 8285, 6144, 14429, 32627, 43215
distill_a7, , 717, 3514, , 9700, 6144, 15844, 35112, 47460
greenwall_a1, , 315, 4473, , 12438, 0, 12438, 21384, 37314
guerilla_a4n, , 5197, 19058, , 61487, 11840, 73327, 134075, 218409
guerilla_a6trashv2, , 5184, 19426, , 62183, 11744, 73927, 135231, 220227
guttersplit_a2_1, , 1041, 7925, , 22532, 0, 22532, 38382, 67596
hayheights_a7, , 1052, 4924, , 14579, 192, 14771, 24979, 44277
ink_factory_a4, , 358, 1639, , 4284, 0, 4284, 7562, 12852
ink_factory_a5, , 389, 1850, , 4901, 0, 4901, 8601, 14703
inu_a1c, , 339, 2564, , 7191, 0, 7191, 12319, 21573
koro1, , 109, 2840, , 7756, 32, 7788, 13528, 23358
litehouse_a7, , 538, 4697, , 12811, 0, 12811, 22205, 38433
moonblast_a4, , 874, 4362, , 12209, 5152, 17361, 36249, 51873
nerve, , 3980, 13678, , 37794, 19904, 57698, 123550, 171126
nucleu, , 2081, 5263, , 15711, 7424, 23135, 47581, 68013
observatory_a2, , 1239, 2856, , 8971, 10496, 19467, 45843, 57909
observatory_a3, , 1294, 2981, , 9346, 10496, 19842, 46468, 59034
obsession_a10, , 2181, 6892, , 21598, 832, 22430, 37774, 67134
oof_a1, , 1865, 4719, , 14370, 5888, 20258, 40736, 59670
oxen_a8, , 1334, 5499, , 16151, 0, 16151, 27149, 48453
power_feud_a9a, , 449, 3990, , 11089, 6144, 17233, 37453, 51627
racoon_a1v2, , 395, 1478, , 4149, 0, 4149, 7105, 12447
rails_a02, , 816, 3070, , 7983, 0, 7983, 14123, 23949
rails_a05, , 1062, 4596, , 13961, 4096, 18057, 35409, 54123
riverrun_a1, , 508, 1977, , 5444, 0, 5444, 9398, 16332
rocktop_rc2, , 4307, 13388, , 42773, 47360, 90133, 208457, 265641
roughpatch2_b3, , 809, 5004, , 13398, 0, 13398, 23406, 40194
router_a1, , 871, 4464, , 12574, 4608, 17182, 34750, 50682
sandblast_a1-1, , 686, 3922, , 10866, 9376, 20242, 45834, 59220
sandpoint_a2, , 1101, 5953, , 16787, 16608, 33395, 77173, 98169
sawmill, , 2253, 9701, , 33369, 19936, 53305, 111947, 158967
shaddar_a3, , 1213, 3286, , 9658, 832, 10490, 18694, 31422
shrinkray, , 518, 3569, , 10537, 14848, 25385, 61755, 75459
shrinkray_a7, , 1009, 5345, , 16424, 14848, 31272, 71194, 93120
sierra_b1, , 1977, 9504, , 32093, 19200, 51293, 108101, 152979
tools_a6, , 780, 2943, , 7442, 0, 7442, 13328, 22326
tugawar_a6a, , 392, 2767, , 7736, 4096, 11832, 25454, 35340
tugawar_a8, , 563, 5179, , 16294, 3840, 20134, 38076, 60258
warehouse_a1, , 609, 2451, , 6641, 0, 6641, 11543, 19923
warehouse_a4, , 640, 2494, , 6793, 0, 6793, 11781, 20379
warehouse_b1, , 841, 2905, , 8141, 0, 8141, 13951, 24423
warehouse_b2, , 1312, 3887, , 11542, 0, 11542, 19316, 34626
waterwheel_a2, , 567, 2477, , 6984, 0, 6984, 11938, 20952
waterwheel_a4, , 697, 3093, , 8612, 0, 8612, 14798, 25836
wildwater_a4, , 1491, 5861, , 19453, 20864, 40317, 92911, 119667
KOTH3_*, , BRUSHES, FACES, , FACE TRIANGLES, DISPLACEMENT TRIANGLES, TOTAL TRIANGLES, VERTEX COUNT, INDEX COUNT
KR_*, , BRUSHES, FACES, , FACE TRIANGLES, DISPLACEMENT TRIANGLES, TOTAL TRIANGLES, VERTEX COUNT, INDEX COUNT
gashadokuro_a1, , 144, 1186, , 3086, 0, 3086, 5458, 9258
spytech, , 432, 1956, , 5425, 1472, 6897, 13569, 20415
LOGIC_*, , BRUSHES, FACES, , FACE TRIANGLES, DISPLACEMENT TRIANGLES, TOTAL TRIANGLES, VERTEX COUNT, INDEX COUNT
test_ma, , 12, 40, , 88, 0, 88, 168, 264
LOST_*, , BRUSHES, FACES, , FACE TRIANGLES, DISPLACEMENT TRIANGLES, TOTAL TRIANGLES, VERTEX COUNT, INDEX COUNT
continent, , 268, 1716, , 4643, 9216, 13859, 34571, 39849
MARIO_*, , BRUSHES, FACES, , FACE TRIANGLES, DISPLACEMENT TRIANGLES, TOTAL TRIANGLES, VERTEX COUNT, INDEX COUNT
kart, , 1158, 7523, , 20523, 1280, 21803, 39249, 65169
kart_2012_b3, , 1255, 7081, , 19613, 1792, 21405, 38987, 63969
kart_2_v30, , 1776, 8611, , 24359, 1280, 25639, 45261, 76677
MGE_*, , BRUSHES, FACES, , FACE TRIANGLES, DISPLACEMENT TRIANGLES, TOTAL TRIANGLES, VERTEX COUNT, INDEX COUNT
training_v8_beta4a, , 6629, 28110, , 83081, 63840, 146921, 326741, 434643
MVM_*, , BRUSHES, FACES, , FACE TRIANGLES, DISPLACEMENT TRIANGLES, TOTAL TRIANGLES, VERTEX COUNT, INDEX COUNT
abandoned, , 1028, 4848, , 14202, 32, 14234, 23990, 42696
bigrock, , 1185, 4408, , 10926, 40032, 50958, 135626, 146556
coaltown, , 1575, 5276, , 15272, 14528, 29800, 67820, 87018
decoy, , 1245, 3116, , 7843, 17216, 25059, 63667, 72093
fishhook, , 169, 1306, , 3606, 0, 3606, 6218, 10818
fishhook_creek, , 411, 2596, , 7541, 448, 7989, 14021, 23883
ghost_town, , 1624, 5515, , 15982, 14560, 30542, 69100, 89238
mannhattan, , 1756, 7208, , 18445, 6848, 25293, 52669, 74775
mannwork, , 1356, 3442, , 9676, 11104, 20780, 48484, 60258
rottenburg, , 2024, 7199, , 18806, 41760, 60566, 153492, 174210
splat_a1, , 339, 1370, , 3766, 0, 3766, 6506, 11298
waterfront_rc3, , 4625, 12945, , 38916, 16384, 55300, 113446, 165132
NAH.BSP_*, , BRUSHES, FACES, , FACE TRIANGLES, DISPLACEMENT TRIANGLES, TOTAL TRIANGLES, VERTEX COUNT, INDEX COUNT
NEW_*, , BRUSHES, FACES, , FACE TRIANGLES, DISPLACEMENT TRIANGLES, TOTAL TRIANGLES, VERTEX COUNT, INDEX COUNT
OBSERVATORY.BSP_*, , BRUSHES, FACES, , FACE TRIANGLES, DISPLACEMENT TRIANGLES, TOTAL TRIANGLES, VERTEX COUNT, INDEX COUNT
, , 175, 1042, , 2893, 64, 2957, 5161, 8859
PACMAN_*, , BRUSHES, FACES, , FACE TRIANGLES, DISPLACEMENT TRIANGLES, TOTAL TRIANGLES, VERTEX COUNT, INDEX COUNT
a1, , 115, 587, , 1518, 0, 1518, 2692, 4554
PASS_*, , BRUSHES, FACES, , FACE TRIANGLES, DISPLACEMENT TRIANGLES, TOTAL TRIANGLES, VERTEX COUNT, INDEX COUNT
brickyard, , 5845, 19650, , 56995, 18624, 75619, 150091, 223743
district, , 7730, 21169, , 60182, 128, 60310, 102888, 180906
lunarlaunch_a2, , 2030, 11127, , 31102, 16416, 47518, 102376, 142212
timbertown_event_v8, , 3384, 12071, , 36935, 16512, 53447, 108705, 157479
volleyblast_rc13, , 133, 1543, , 4212, 5760, 9972, 24446, 29718
Player Destruction, , BRUSHES, FACES, , FACE TRIANGLES, DISPLACEMENT TRIANGLES, TOTAL TRIANGLES, VERTEX COUNT, INDEX COUNT
Payload, , BRUSHES, FACES, , FACE TRIANGLES, DISPLACEMENT TRIANGLES, TOTAL TRIANGLES, VERTEX COUNT, INDEX COUNT
astron_a5, , 484, 2934, , 7770, 1792, 9562, 18922, 28548
cactuscanyon, , 2604, 8329, , 22067, 32864, 54931, 133209, 158631
campania_a10, , 467, 1780, , 4887, 0, 4887, 8447, 14661
cashworks_final1, , 7981, 28815, , 57555, 48800, 106355, 259841, 316449
cliffedge_a4v2, , 2231, 8664, , 26434, 24320, 50754, 115962, 151122
cliffedge_a6v2, , 2224, 8181, , 25497, 23072, 48569, 110351, 144621
cliffedge_b4, , 2799, 11085, , 32722, 53504, 86226, 213732, 256170
cliffedge_b6, , 2223, 8848, , 26009, 34688, 60697, 146685, 180465
corrode_b3c, , 6856, 20667, , 63883, 50720, 114603, 255321, 340725
cropduster72_a1d, , 736, 2823, , 7543, 0, 7543, 13189, 22629
crossover_a1, , 341, 2820, , 7538, 768, 8306, 15458, 24882
drizzle_a2, , 922, 4049, , 10896, 5792, 16688, 36174, 49770
drizzle_a4, , 1054, 4574, , 12370, 8352, 20722, 46298, 61752
drumwalk_a10, , 867, 4508, , 12013, 288, 12301, 21857, 36849
frontier_final, , 5478, 17470, , 52938, 46240, 99178, 222690, 291672
frontier_redo, , 5279, 17288, , 52505, 45792, 98297, 220581, 289077
goldrush_unpacked, , 8124, 22583, , 69139, 76832, 145971, 338173, 427971
haywire_a10, , 764, 4626, , 14011, 544, 14555, 24827, 43563
haywire_a12, , 798, 4903, , 14796, 608, 15404, 26350, 46098
haywire_a7, , 739, 4387, , 13296, 448, 13744, 23358, 41148
haywire_b47, , 3564, 13547, , 47084, 8096, 55180, 97466, 164040
lieutenant_a3, , 351, 2648, , 6944, 0, 6944, 12240, 20832
lieutenant_a4, , 322, 2488, , 6476, 0, 6476, 11452, 19428
pigzit72_a28, , 622, 3934, , 10658, 0, 10658, 18526, 31974
pigzit72_a4v4, , 749, 4499, , 12302, 0, 12302, 21300, 36906
project_kronos_a1, , 380, 1293, , 3497, 1024, 4521, 9123, 13515
rising_rc1, , 2215, 6140, , 18736, 10112, 28848, 61036, 86070
sabotage_a3a, , 680, 3246, , 8435, 5824, 14259, 31671, 41685
stormguard_a9, , 1270, 8638, , 25139, 0, 25139, 42415, 75417
swiftwater_final1, , 6237, 21338, , 66091, 25536, 91627, 182183, 270093
thundermountain, , 7334, 21107, , 64057, 55936, 119993, 267279, 349779
upward, , 5084, 15685, , 53544, 18240, 71784, 137402, 212004
waste_v2, , 5653, 15239, , 49124, 5472, 54596, 95658, 163248
Payload Race, , BRUSHES, FACES, , FACE TRIANGLES, DISPLACEMENT TRIANGLES, TOTAL TRIANGLES, VERTEX COUNT, INDEX COUNT
hightower_rainy, , 4561, 11537, , 32765, 21024, 53789, 116643, 157965
nightfall_final, , 7993, 21048, , 62035, 32512, 94547, 198011, 278157
pipeline, , 6942, 18591, , 54264, 7008, 61272, 111870, 182916
RD_*, , BRUSHES, FACES, , FACE TRIANGLES, DISPLACEMENT TRIANGLES, TOTAL TRIANGLES, VERTEX COUNT, INDEX COUNT
asteroid, , 4437, 14097, , 39647, 25184, 64831, 141865, 192201
